0	rennai、wangnaijianjiuju	任耐、王乃坚旧居	http://data.library.sh.cn/entity/place/r4tibjuyc0ta5p75	http://data.library.sh.cn/entity/physicalculturalheritage/1hedxxjdfj3w6we3	顺昌路	121.485214	31.221975	任耐、王乃坚旧居位于菜市路（今）313弄。1946年至1949年，中共情报系统在上海有四部秘密电台和两部收报台。1947年10月，在沪的四部秘密电台之一——岭台的报务员改为任耐、王乃坚。为了隐藏电台，王乃坚和任耐以夫妻名义工作。起初，他们住在迪化南路。1948年10月，搬到菜市路（今顺昌路）313弄。他们把电台藏在亭子间门口的楼梯空当处，白天工作，晚上收报。这段时间，由联络员莫止与他们联系。莫止将收来的电报带回家，交给李冠华译报。该台一直工作到上海解放。	  Resistance, Wang Naijian former residence is located in the vegetables city road (now) 313. From 1946 to 1949, the CPC intelligence system had four secret radio and two in Shanghai to Taiwan. In October 1947, one of the four secret radio station in Shanghai - resistant, Wang Naijian ridge station operator instead. In order to hide the radio, Wang Naijian and resistance in the name of the husband and wife work. At first, they live in di hua south road. In October 1948, moved to vegetables city road (now shun cheong road) 313. They hid the station at the door of the garret stairs space, work in the day, at night. This period of time, by the liaison MoZhi to contact them. MoZhi telegram will close to home, to Li Guanhua translation. It worked until liberation of Shanghai.	False

1	xiayanjiuju	夏衍旧居	http://data.library.sh.cn/entity/place/c8uwnyqxg3qq28r3	http://data.library.sh.cn/entity/physicalculturalheritage/3iy1vau1pwy3ljlp	乌鲁木齐南路178号2号楼	121.45561	31.209673	夏衍旧居位于乌鲁木齐南路178号2号楼。^^    夏衍，本名沈月熙，字端轩，浙江省杭州市人，中国著名作家、文艺评论家、翻译家。夏衍艰难坎坷又丰富多彩的传奇经历与上海有着紧密的联系。1927年，夏衍在上海加入中国共产党，是中国新文化运动的先驱者之一。1929年，夏衍同鲁迅筹建中国左翼作家联盟，左联成立后任执行委员，后发起组织中国左翼戏剧家联盟。1949年5月上海解放后，夏衍先后任上海军事管制委员会文教委员会副主任、中共华东局宣传部副部长、上海市委常委、宣传部部长等职。^^    从1949年到1956年，他就住在乌鲁木齐南路178号这幢花园住宅里，这是夏衍在沪居住时间最长的寓所。该宅建于1932年，占地面积750平方米，为假三层砖木结构英国风格花园住宅。后为徐汇区政协办公用房。^^    2009年，公布为徐汇区登记不可移动文物。2011年，公布为徐汇区文物保护单位。2014年，公布为上海市文物保护单位。2019年3月24日，正式对外开放。	  Xia yan all former residence is located in urumqi, tower 2, south road no. 178.	False

2	《zhenhuabao》sheyizhi	《真话报》社遗址	http://data.library.sh.cn/entity/place/r4tibjuyc0ta5p75	http://data.library.sh.cn/entity/physicalculturalheritage/12l7veduylewo1g8	九江路山东中路路口	121.49108	31.240154	《真话报》是中共江苏省委机关报，社址在九江路山东路东首410号半（今九江路山东中路路口）。《真话报》于1932年5月29日在上海创办，主编潘梓年。该报主要内容是宣传中国共产党的政治主张，刊登中央及江苏省委领导人的讲话和文章，并报道红军反围剿斗争。1933年1月25日后，《真话报》一度停办05月，潘梓年被捕。1935年5月2日，报纸复办。同年7月28日，报纸终止。	  The truth newspaper is the mouthpiece of the communist party of China jiangsu provincial party committee, SheZhi at 410 jiujiang road of shandong road DongShou half (now jiujiang road, shandong road intersection). The truth newspaper founded in Shanghai in May 29, 1932, editor in chief Pan Zi years. The paper main content is the propaganda of the communist party of China politics, in the central and provincial leaders in jiangsu's comments and articles, and reports the reds struggle against encirclement and suppression. On January 25, 1933, in the future the truth newspaper once stopped may, Pan Zi years was arrested. On May 2, 1935, the newspaper office. In the same year on July 28, the newspaper shall be terminated.	False

3	quanguozonggonghuiyinshuasuoyizhi	全国总工会印刷所遗址	http://data.library.sh.cn/entity/place/r4tibjuyc0ta5p75	http://data.library.sh.cn/entity/physicalculturalheritage/10djhrq2q36simv6	浙江中路天潼路之间的北京东路北侧	121.48124	31.243223	全国总工会印刷所遗址位于新庆余里（今浙江中路天潼路之间的北京东路北侧）。20世纪20年代末30年代初，是上海海派小报大泛滥时期，从1927年到1931年间出版近700种报纸。中共转入地下后，为应对国民党的文化围剿，出版了不少貌似海派小报而实际进行革命鼓动、报道各种工农革命消息的革命报刊。1929年年底，全国总工会在新庆余里建立印刷所，名为华大印刷所，负责人方慕韩（王承纬化名），承印外来印件。该印刷所于1931年年底结束。	  The national federation of trade unions in the printing house sites in new qingyu (now zhejiang middle day Tong road between Beijing east road north). In the late 1920 s and 30 s, Shanghai Shanghai tabloid big flood period, from 1927 to 1931 published nearly 700 kinds of newspapers. After the Chinese communist party underground, in response to the kuomintang's cultural encirclement and suppression, published a lot of seemingly Shanghai tabloid and actual revolution instigated, report all sorts of revolution of workers and peasants revolutionary newspapers and news. At the end of 1929, the national federation of trade unions in the new qingyu establish printing house, called huada printing house, head for Korea Wang Chengwei (a pseudonym), foreign printing calendar. At the end of the end of 1931 the printing house.	False

4	zhonggongyangshupubuweijiguanyizhi	中共杨树浦部委机关遗址	http://data.library.sh.cn/entity/place/u2mx82iyoplu5qtb	http://data.library.sh.cn/entity/physicalculturalheritage/10ogkskk41p7a2ad	长阳路荆州路路口一带	121.52094	31.265173	中共杨树浦部委机关遗址位于华德路斯文里13号（今长阳路荆州路路口一带）。1926年初，中共杨树浦部委机关设在此处，张叔平担任部委书记05月30日，五卅惨案一周年，杨树浦地区工人队伍在党和团的部委领导指挥下举行示威活动。1927年2月下旬，中共中央军委书记周恩来亲临此处，召开会议研究第三次武装起义事项。3月7日，中共杨树浦部委和中共引翔港部委合并为中共沪东部委04月10日，中共杨树浦部委原书记谢文锦被国民党反动派逮捕，数日后牺牲在雨花台。	  The poplar distributes sven in 13 ministries and agencies site located in huade road (now) changyang jingzhou road intersection area. In early 1926, the communist party of China (poplar distributes ministries and agencies in here, on May 30, has served as secretary of the ministries and commissions received awards wonder the first anniversary of the massacre, poplar distributes area workers under the leadership of the ministries and commissions of the party and group command held demonstrations. In late February, 1927, zhou enlai, secretary of the CPC Central Military Commission on here, held a meeting to study the third armed uprising matters. On March 7, the communist party of China (poplar distributes ministries and the communist party of China led cheung Hong Kong ministries combined hudong zhonghua ministries 04 October for the Chinese communist party, the communist party secretary of the poplar distributes ministries and the original Xie Wenjin was arrested by the kuomintang reactionaries, after days of sacrifice in the flower terrace.	False

